id_duplicado;quantidade
148313;5
200949;5
841430;5
892311;5
174890;5
192405;5
217336;5
140830;5
181241;5
222633;5
184616;5
167930;5
642946;5
113595;5
153325;5
159667;5
131209;5
205055;5
202795;5
209128;5
181712;5
647134;5
195821;5
156728;5
125357;5
194870;5
229730;5
219878;5
213360;5
114129;5
203947;5
105774;5
173196;5
181585;5
116432;5
228009;5
116227;5
174342;5
166050;5
137033;5
225994;5
216443;5
194182;5
210329;5
187099;5
172805;5
154138;5
227832;5
196154;5
129711;5
120185;5
234594;5
152802;5
135821;5
157816;5
136445;5
163182;5
187113;5
184829;5
121654;5
166950;5
206563;5
195068;5
175250;5
171043;5
159554;5
145601;5
120256;5
160967;5
170106;5
151995;5
194303;5
164336;5
173025;5
175097;5
115165;5
195467;5
165910;5
214048;5
130096;5
882413;5
113815;5
107373;5
117354;5
179482;5
226640;5
172921;5
229576;5
845894;5
132112;5
158001;5
116250;5
133764;5
116435;5
184282;5
194667;5
119913;5
207810;5
223014;5
220976;5
150972;5
221818;5
893195;5
842746;5
142080;5
188395;5
199128;5
166254;5
177304;5
143316;5
213618;5
219781;5
213815;5
885775;5
175585;5
185363;5
145867;5
123253;5
196794;5
189460;5
147667;5
219842;5
197218;5
124873;5
164772;5
155069;5
192291;5
111757;5
215538;5
155893;5
219153;5
160751;5
142051;5
221454;5
176673;5
217783;5
127518;5
122070;5
219766;5
175430;5
176656;5
147750;5
196382;5
169836;5
218965;5
214073;5
145889;5
192236;5
148104;5
149183;5
147562;5
128537;5
132800;5
190137;5
881830;5
150579;5
149149;5
170938;5
167605;5
214982;5
181483;5
147807;5
183977;5
227543;5
177218;5
205439;5
111905;5
105716;5
205917;5
208769;5
174364;5
188985;5
228721;5
173812;5
138225;5
165766;5
176851;5
154336;5
215094;5
126396;5
124844;5
229343;5
133687;5
169058;5
176052;5
155997;5
104827;5
173079;5
157500;5
201569;5
204794;5
187131;5
116236;5
128365;5
129006;5
162004;5
168585;5
193748;5
151003;5
127230;5
189617;5
183250;5
109341;5
228819;5
195687;5
211731;5
142273;5
112933;5
118701;5
174544;5
218795;5
199103;5
159500;5
221543;5
176269;5
132428;5
114456;5
136888;5
135043;5
189578;5
120222;5
193531;5
196942;5
176015;5
190568;5
175825;5
193470;5
209297;5
219138;5
157345;5
121021;5
148393;5
227145;5
139008;5
232741;5
847188;5
884932;5
231495;5
191377;5
133187;5
161451;5
194371;5
110819;5
206889;5
111096;5
111516;5
195136;5
140023;5
148164;5
204863;5
211884;5
217891;5
186980;5
145398;5
147688;5
153153;5
214329;5
209493;5
160287;5
228467;5
207413;5
465871;5
129496;5
181868;5
201203;5
195012;5
232232;5
169359;5
887078;5
893085;5
169532;5
126972;5
204089;5
148822;5
226474;5
213798;5
180983;5
140251;5
165485;5
167265;5
158239;5
190464;5
195983;5
213335;5
116795;5
160052;5
146338;5
181139;5
207902;5
134303;5
107685;5
216073;5
192343;5
152156;5
111754;5
181083;5
203617;5
126821;5
116197;5
230793;5
139846;5
160807;5
226573;5
191719;5
113523;5
132865;5
214533;5
152386;5
173270;5
172793;5
181269;5
114706;5
113405;5
130639;5
122137;5
176626;5
139964;5
140372;5
885353;5
229331;5
130247;5
184137;5
153468;5
175329;5
117434;5
149043;5
143000;5
114402;5
218994;5
197200;5
157620;5
176318;5
143535;5
121421;5
139997;5
182114;5
164038;5
220913;5
150051;5
162625;5
172154;5
199753;4
136209;4
222628;4
151893;4
213650;4
124738;4
117237;4
208193;4
134571;4
130982;4
126353;4
110427;4
186634;4
107228;4
206638;4
176597;4
118368;4
233643;4
140144;4
118120;4
108899;4
154836;4
883906;4
161762;4
216596;4
230853;4
177886;4
173315;4
226863;4
205164;4
119479;4
163306;4
194584;4
132084;4
208442;4
140504;4
212954;4
220951;4
183950;4
177931;4
136727;4
169809;4
188110;4
182508;4
200104;4
197172;4
208447;4
179181;4
184615;4
205659;4
145020;4
203119;4
214145;4
